1927,Wings,US$2 million
1929,The Broadway Melody,Unknown
1930,All Quiet on the Western Front,$1.2 million
1931,Cimarron,"$1,433,000"
1932,Grand Hotel,"$750,000"
1933,Cavalcade,"$1,180,280"
1934,It Happened One Night,"$325,000"
1935,Mutiny on the Bounty,"$1,950,000"
1936,The Great Ziegfeld,$2.183 million
1937,The Life of Emile Zola,Unknown
1938,You Can't Take It With You,"US$1,644,736"
1939,Gone with the Wind,$3.85 million
1940,Rebecca,"$1,288,000"
1941,How Green Was My Valley,"$800,000"
1942,Mrs. Miniver,$1.34 million
1942,Casablanca,"$878,000"
1944,Going My Way,Unknown
1945,The Lost Weekend,$1.25 million
1946,The Best Years of Our Lives,$2.1 million
1947,Gentleman's Agreement,"$1,985,000"
1948,Hamlet,"£527,530"
1949,All the King's Men,Unknown
1950,All About Eve,$1.4 million
1951,An American in Paris,"$2,724,000"
1952,The Greatest Show on Earth,Unknown
1953,From Here to Eternity,"$1,650,000"
1954,On the Waterfront,"$910,000"
1955,Marty,"$350,000"
1956,Around the World in 80 Days,$6 million
1957,The Bridge on the River Kwai,"$2,840,000."
1958,Gigi,"$3,319,355"
1959,Ben-Hur,$15.2 million
1960,The Apartment,$3 million
1961,West Side Story,$6 million
1962,Lawrence of Arabia,$15 million
1963,Tom Jones,"$1 million or £467,000"
1964,My Fair Lady,$17 million
1965,The Sound of Music,$8.2 million
1966,A Man for All Seasons,$2 million
1967,In the Heat of the Night,$2 million
1968,Oliver!,$10 million
1969,Midnight Cowboy,$3.2 million
1970,Patton,"$12,625,000"
1971,The French Connection,$1.8 million
1972,The Godfather,$6–7 million
1973,The Sting,$5.5 million
1974,The Godfather Part II,$13 million
1975,One Flew Over the Cuckoo's Nest,$3 million
1976,Rocky,$1.075 million
1977,Annie Hall,$4 million
1978,The Deer Hunter,$15 million
1979,Kramer vs. Kramer,$8 million
1980,Ordinary People,$6 million
1981,Chariots of Fire,£3 million
1982,Gandhi,$22 million
1983,Terms of Endearment,$8 million
1984,Amadeus,$18 million
1985,Out of Africa,$28 million
1986,Platoon,$6 million
1987,The Last Emperor,$23.8 million
1988,Rain Man,$25 million
1989,Driving Miss Daisy,$7.5 million
1990,Dances with Wolves,$22 million
1991,The Silence of the Lambs,$19 million
1992,Unforgiven,$14.4 million
1993,Schindler's List,$22 million
1994,Forrest Gump,$55 million
1995,Braveheart,$72 million
1996,The English Patient,$27 million
1997,Titanic,$200 million
1998,Shakespeare in Love,$25 million
1999,American Beauty,$15 million
2000,Gladiator,$103 million
2001,A Beautiful Mind,$58 million
2002,Chicago,$45 million
2003,The Lord of the Rings:The Return of the King,$94 million
2004,Million Dollar Baby,$30 million
2004,Crash,$6.5 million
2006,The Departed,$90 million
2007,No Country for Old Men,$25 million
2008,Slumdog Millionaire,$15 million
2008,The Hurt Locker,$15 million
2010,The King's Speech,£8 million ($15 million)
2011,The Artist,$15 million
2012,Argo,$44.5 million
2013,12 Years a Slave,$22 million
2014,Birdman,$16.5 million
Average budget out of 80 winners: $17608129
